Order ID,Customer Name,Product SKU,Order Date,Revenue
ORD-2001,Neha Sharma,SHOE001,01/06/26,3501
ORD2002,Neha Sharma,SHOE002,02/06/26,2792
ORD-2003,Meera K,BAG-001,03/06/26,3978
ORD2004,Sneha P,TSHIRT-001,04/06/26,5833
ORD-2005,John Smith,TSHIRT-001,05/06/26,6043
ORD2006,Aman P,TSHIRT-001,06/06/26,2348
ORD-2007,Rahul K,SHOE002,07/06/26,2445
ORD2008,jane smith,TSHIRT001,08/06/26,6032
ORD-2009,Rahul K,SHOE002,09/06/26,3808
ORD2010,Sneha P,SHOE-002,10/06/26,4308
ORD-2011,Priya M,TSHIRT-001,11/06/26,6695
ORD2012,Aman P,BAG-001,12/06/26,5502
ORD-2013,Aman P,SHOE-001,13/06/26,2256
ORD2014,ravi mehta,SHOE002,14/06/26,1861
ORD-2015,John Smith,shoe-002,15/06/26,2571
ORD2016,Aman P,shoe-001,16/06/26,5119
ORD-2017,Arjun R,TSHIRT001,17/06/26,5003
ORD2018,Arjun R,SHOE-001,18/06/26,2416
ORD-2019,jane smith,TSHIRT001,19/06/26,2721
ORD2020,Arjun R,SHOE-001,20/06/26,4524
ORD-2021,Sneha P,BAG-001,21/06/26,2713
ORD2022,ravi mehta,shoe-001,22/06/26,1842
ORD-2023,Aman P,shoe-002,23/06/26,1826
ORD2024,Neha Sharma,SHOE-002,24/06/26,3544
ORD-2025,jane smith,shoe-002,25/06/26,6086
ORD2026,ravi mehta,BAG001,26/06/26,2766
ORD-2027,Priya M,shoe-001,27/06/26,2950
ORD2028,ravi mehta,SHOE-001,28/06/26,2969
ORD-2029,Neha Sharma,SHOE-003,01/06/26,6987
ORD2030,Priya M,SHOE002,02/06/26,2804
ORD-2031,jane smith,SHOE-003,03/06/26,1817
ORD2032,Meera K,SHOE-002,04/06/26,3134
ORD-2033,Meera K,shoe-002,05/06/26,4000
ORD2034,Priya M,SHOE-002,06/06/26,1693
ORD-2035,Priya M,SHOE-003,07/06/26,4189
ORD2036,Aman P,SHOE001,08/06/26,3786
ORD-2037,Neha Sharma,TSHIRT-001,09/06/26,5673
ORD2038,ravi mehta,TSHIRT-001,10/06/26,5892
ORD-2039,Neha Sharma,SHOE-001,11/06/26,2444
ORD2040,Aman P,shoe-001,12/06/26,6256
ORD-2041,Aman P,SHOE-001,13/06/26,2388
ORD2042,Sneha P,SHOE-003,14/06/26,4331
ORD-2043,Neha Sharma,SHOE-003,15/06/26,6466
ORD2044,Arjun R,SHOE001,16/06/26,4655
ORD-2045,Sneha P,SHOE-002,17/06/26,3586
ORD2046,John Smith,TSHIRT001,18/06/26,5072
ORD-2047,John Smith,BAG-001,19/06/26,5910
ORD2048,Priya M,shoe-002,20/06/26,5033
ORD-2049,jane smith,TSHIRT-001,21/06/26,4204
ORD2050,Sneha P,shoe-002,22/06/26,6934
ORD-2051,jane smith,TSHIRT001,23/06/26,3960
ORD2052,Arjun R,SHOE002,24/06/26,6963
ORD-2053,ravi mehta,shoe-002,25/06/26,4796
ORD2054,Aman P,BAG-001,26/06/26,2542
ORD-2055,Priya M,SHOE-003,27/06/26,6947
ORD2056,ravi mehta,TSHIRT-001,28/06/26,2925
ORD-2057,Sneha P,BAG001,01/06/26,3965
ORD2058,ravi mehta,BAG-001,02/06/26,1503
ORD-2059,Aman P,SHOE002,03/06/26,3221
ORD2060,ravi mehta,BAG001,04/06/26,6469
ORD-2061,Neha Sharma,SHOE003,05/06/26,5119
ORD2062,Meera K,TSHIRT-001,06/06/26,3250
ORD-2063,Arjun R,SHOE003,07/06/26,2890
ORD2064,jane smith,SHOE002,08/06/26,5722
ORD-2065,Sneha P,shoe-002,09/06/26,2265
ORD2066,Priya M,TSHIRT-001,10/06/26,4042
ORD-2067,Priya M,SHOE-002,11/06/26,2707
ORD2068,John Smith,SHOE-001,12/06/26,3505
ORD-2069,Meera K,BAG001,13/06/26,2096
ORD2070,Meera K,SHOE-003,14/06/26,6659
ORD-2071,Sneha P,SHOE-002,15/06/26,4645
ORD2072,Meera K,SHOE-003,16/06/26,3498
ORD-2073,Rahul K,TSHIRT-001,17/06/26,1545
ORD2074,jane smith,SHOE-003,18/06/26,3292
ORD-2075,Rahul K,TSHIRT001,19/06/26,5743
ORD2076,Meera K,SHOE-001,20/06/26,6066
ORD-2077,Priya M,SHOE001,21/06/26,5239
ORD2078,Rahul K,SHOE003,22/06/26,6968
ORD-2079,Arjun R,BAG-001,23/06/26,6377
ORD2080,Neha Sharma,SHOE003,24/06/26,6518
ORD-2081,Arjun R,SHOE-003,25/06/26,5988
ORD2082,Meera K,shoe-001,26/06/26,5388
ORD-2083,Meera K,SHOE002,27/06/26,3525
ORD2084,Aman P,BAG-001,28/06/26,5469
ORD-2085,Priya M,SHOE002,01/06/26,5103
